"REF_DATE","GEO","DGUID","Income concept","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$90,000 to $99,999","Percent","239","units","0","v107657367","16.3.15","2.8","E","","","1"
"2014","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$90,000 to $99,999","Percent","239","units","0","v107657367","16.3.15","2.4","E","","","1"
"2015","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$90,000 to $99,999","Percent","239","units","0","v107657367","16.3.15","2.7","D","","","1"
"2016","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$90,000 to $99,999","Percent","239","units","0","v107657367","16.3.15","2.8","D","","","1"
"2017","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$90,000 to $99,999","Percent","239","units","0","v107657367","16.3.15","3.1","D","","","1"
"2018","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$90,000 to $99,999","Percent","239","units","0","v107657367","16.3.15","2.7","D","","","1"
"1976","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","3.9","","","","1"
"1977","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","3.1","","","","1"
"1978","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.8","","","","1"
"1979","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.0","","","","1"
"1980","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.3","","","","1"
"1981","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.6","","","","1"
"1982","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.7","","","","1"
"1983","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.6","","","","1"
"1984","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.3","","","","1"
