"REF_DATE","GEO","DGUID","Income concept","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1985","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","3.7","","","","1"
"1986","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","1.3","","","","1"
"1987","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","1.7","","","","1"
"1988","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.6","","","","1"
"1989","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","1.7","","","","1"
"1990","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","1.7","","","","1"
"1991","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","1.3","","","","1"
"1992","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.1","","","","1"
"1993","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","1.4","E","","","1"
"1994","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","1.3","E","","","1"
"1995","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","1.5","E","","","1"
"1996","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","1.8","D","","","1"
"1997","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","1.8","E","","","1"
"1998","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.3","E","","","1"
"1999","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","After-tax income","$100,000 and over","Percent","239","units","0","v107657368","16.3.16","2.2","E","","","1"
