"REF_DATE","GEO","DGUID","Income concept","Economic family type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1978","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.2","","","","1"
"1979","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.3","","","","1"
"1980","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.3","","","","1"
"1981","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.5","","","","1"
"1982","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.6","","","","1"
"1983","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.5","","","","1"
"1984","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.6","","","","1"
"1985","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.7","","","","1"
"1986","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.6","","","","1"
"1987","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.7","","","","1"
"1988","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.6","","","","1"
"1989","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.7","","","","1"
"1990","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.7","","","","1"
"1991","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.6","","","","1"
"1992","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.7","","","","1"
"1993","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.5","A","","","1"
"1994","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.7","A","","","1"
"1995","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.9","A","","","1"
"1996","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.9","A","","","1"
"1997","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"1998","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"1999","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2000","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2001","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2002","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2003","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","99.9","A","","","1"
"2004","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2005","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2006","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2007","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2008","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2009","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2010","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2011","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2012","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2013","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2014","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2015","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
